Place,Frequency
Zinal,103
Bishorn,56
Weisshorn,55
Tracuithütte,48
Turtmanngletscher,29
Firn,17
Steigeisen,16
Cabane de Tracuit,15
Bishorns,14
Wallis,12
Weisshorns,12
Randa,11
Nordgrat,10
Weißhorn,10
Tracuit-Hütte,10
Turtmanntal,10
Brunegghorn,9
Sierre,8
Col de Tracuit,8
Bergen,8
Adlerflüe,7
Allalinhorn,7
Cabanne de Tracuit,7
Alpen,7
Col de Milon,7
Zermatt,7
Wand,7
Cabane,6
Brunegggletscher,6
Dom,6
Turtmanngletschers,6
Schweiz,6
Weges,6
Walliser,6
Roc de la Vache,6
Brunegghorns,5
Nebel,5
oberen Teil,5
Weisshornjoch,5
Tracuit Hütte,5
Mattertal,5
Tête de Milon,5
Tempo,5
Berner Alpen,5
Zinalrothorn,5
Weisshorn Nordgrat,5
Val d'Anniviers,5
Tracuit,5
Normalroute,5
Verhältnissen,4
Weißhorns,4
Matterhorn,4
Zürich,4
Mont Blanc,4
Barrhorn,4
Regen,4
der Schweiz,4
Berner Oberland,4
Oberems,4
Grenzen,4
Schneide,4
Schneedecke,4
Ostgipfel,3
Rothornhütte,3
Tal,3
Chamonix,3
Liskamm,3
Bändern,3
Dent Blanche,3
vetta,3
Rimpfischhorn,3
Gipfeln,3
Biwak,3
Gipfelplateau,3
cima,3
Gletschersee,3
Obergabelhorn,3
Barrhörner,3
Tages,3
Sattels,2
Gendarm,2
giornata,2
Gipfelnähe,2
Grand Gendarme,2
Schnee,2
weiss,2
Grand Gendarm,2
m di dislivello,2
Burnaby,2
Anseilplatz,2
Alphubel,2
Monte Rosa,2
Nordwestflanke,2
nachZinal,2
Aufstiegs,2
Besso,2
Mischabel,2
Hütten,2
Schneefeld,2
Grand Combin,2
Weisshornhütte,2
Schalihorn,2
Bahnhof,2
Postauto,2
Zug,2
Gässi,2
Hüttenpersonal,2
Höhenlinie,2
Visp,2
Monte Bianco,2
Schlafplatz,2
Saas-Fee,2
quota,2
a Zinal,2
Combautanna,2
Abseilstelle,2
tempo,2
Dunkeln,2
Fuji,2
Vissoie,2
Torrent de Tracuit,2
T5,2
Almeno,2
una,2
Zinaltal,2
Sulz,2
Straße,2
Montblanc,2
Dufourspitze,2
Täschhorn,2
Füssen,2
Müsli,2
Hauptgipfels,2
Beinen,2
giorni,2
Engländerin,2
Damen,2
Westgipfel,2
Bohrhaken,2
O,2
Dunkelwerden,2
la traccia,2
Col,2
Innere Barrhorn,2
Turtmänna,2
Vorder Sänntum,2
Paolo,2
Mond,2
Bishorn-Gipfeln,2
Nachbartal,2
Westgipfels,2
Risiko,2
Bahnhof Randa,2
Spanier,2
Monte Rosa-,1
ListederAlpen,1
Gendarme,1
Knien,1
inZinal,1
Turnschuhen,1
Alp Tracuit,1
Col Tracuit,1
4153m,1
Mischabelgruppe,1
Bishorn Westgipfel,1
Bestiegen,1
Goms,1
Berneralpen,1
Südgipfel,1
Schaligrat,1
Felspartien,1
Kurze Zeit,1
Silbernagel-Führer,1
Dreitausender,1
Fredy,1
Steilstücks,1
Traumberg,1
Val Zinal,1
Valle di Zermatt e Monte Rosa,1
andrebbe fatta,1
periodi tranquilli e,1
mancanza di organizzazione,1
La cordata,1
Andrea,1
Ivano,1
Hikr,1
Hochalpen,1
Spuk,1
desChanziltiwechseln,1
Sonntagmorgen-Spaziergänge,1
Norwegen,1
Winter-Hüttenweg,1
"4,5h",1
Zürück,1
Mittagshitze,1
Oberschenkeln,1
.Das Bishorn,1
Technick,1
Gipfeltag,1
CHF Decke,1
m).Der Pfad,1
Alm,1
Drahtseil,1
IhrHIER,1
hikr,1
Wind,1
compagnia dell'amico Matteo,1
Giunti a Zinal,1
capanna,1
Sierre nachZinalim Val,1
Dörfchen Zinal,1
Alpweiden,1
unfreundlichem Hüttenpersonal,1
Hüttenpersonals,1
Weissmies,1
Urner,1
Waadtländer Alpen,1
Breithorn,1
zurCabanne de Tracuitab,1
Zick-Zack,1
Stund,1
Visp am Bahnhof,1
Strömen,1
Weisshorn-Anwärter,1
Weisshornbesteigern,1
Schlüsselstelle am Grand,1
Schwierigkeitsbereich,1
Grats,1
Hintern,1
Friends,1
Alpenraum,1
Führern,1
Nordgrat-Seilschaften,1
Empfangskomitee,1
Hans,1
Mani,1
Lunch,1
Oh Mist,1
Nachmittages,1
Horizontale,1
Bishorn-Zimmer,1
Morgenessen,1
Wolkenband,1
Bise,1
blau,1
Sabbat-Spaziergang,1
WC,1
Brunnen,1
Traditionelle Hochgebirgshütte ohne Hotelambitionen,1
Romands,1
Open Air,1
Richtzeiten,1
Kamms,1
E-Seite,1
tiefblau,1
Schaligletschers,1
Montagmorgen,1
NE,1
Weisshornjoch P.4058,1
Gratkante,1
Felsinsel,1
Kletterei,1
Saas Grund,1
Gornergrat,1
Daubenhornklettersteig,1
D): Ausgangspunkt,1
Leukerbad,1
Via Ferrata d´Evoléne,1
Schlüsselstelle,1
Normalweg,1
Cab.,1
Aufstiegshöhe,1
Almenweiden,1
Alp,1
Marianne,1
Welch,1
Atembeschwerden,1
Paß,1
Martigny,1
Montblancmetropole,1
Jean-Marc,1
Daniel,1
erreichen.4.-5.,1
Crête de Milon,1
Pulsmessungen,1
Große Gendarm,1
Glac.,1
Moming,1
Pointe de Zinal,1
Pigne de la Lé,1
Dortoirs,1
Domes,1
Hohberggletscher,1
Festigletscher,1
Festijoch,1
Monte Rosa-Massiv,1
Wildhorn,1
Les Diablerets,1
Dents du Midi,1
Weißhorngrat,1
Il paese di Zinal è,1
cuciniamo,1
ma confidiamo nella tecnologia e cominciamo a,1
mentre il,1
secondo dopo secondo si fa,1
la ripida paretina ovest,1
vetta il vento e,1
mini bottiglia di prosecco e,1
pochi minuti siamo agli sci,1
prima di cominciare la discesa a valle,1
the morning,1
total who went for the Bishorn,1
overall,1
gleichnamigen Gletscher,1
Europa,1
Grundlagen,1
Japan,1
Ausdauer,1
Dorf Zinal,1
Lac,1
Speck,1
Morgens,1
Gletscher los,1
Mittag Picknick,1
Simplontunnel,1
Lötschbergtunnel,1
Spiez,1
Kandersteg,1
Goppenstein,1
Bahnhof Turtmann,1
Turtmann-Gletschers,1
Neuschnees,1
Holzofen,1
Akklimatisations-Tag,1
Tiefschnee,1
2. Teil des,1
Einsinkens,1
Zeitplan,1
Kojen,1
flott,1
Abgrund,1
Windes,1
Weisshorngrat,1
"la possibilità di respirare un po' di ""aria sottile",1
passato,1
la continuità,1
siamo,1
quattordici,1
compresi i,1
il capo gitaFrancesco,1
Chiara,1
mattia,1
Cristina,1
Marco,1
Ezio,1
Fausto,1
Alessandra,1
Sabato,1
impegnativo...,1
ah ah ah ah ah ah,1
un'agevole,1
questi,1
giro e proseguiamo,1
Il Bishorn lo si prende da sx con ampi tornanti ripidi dopo aver superata una leggera,1
Le cordate sono numerose e la,1
si arriva su,1
a valle,1
ancora,1
volta,1
la voglia,1
Partiti sotto una stellata da incorniciare,1
poco dopo,1
MattiaChiaraWeekend,1
e del mangiare,1
Nonostante il dislivellone,1
un paesaggio quasi bucolico,1
e le vette che ci si stagliavano,1
Nonostante il freddino all'inizio della salita domenica,1
le cose,1
Koje,1
Triebschnee,1
Eisdach,1
propongo,1
orografico,1
le accorciano,1
raggiungiamo,1
la valle,1
fa,1
si apre davanti a noi,1
breve giungiamo,1
la nostra pausa pranzo,1
modo,1
breve ci ricolleghiamo al sentiero,1
la percorrenza,1
e per la brevità,1
di dilslivello,1
perPOLI89,1
meno,1
Secondo,1
pochi metri di detriti,1
il ghiaccaio di Turtmann,1
falsopiano incontrando,1
quindi si vira,1
dislivello che lasciano,1
spazio alla fantasia,1
complice,1
la quota,1
cinquantina di metri di cresta rocciosa a 45/50,1
coda,1
vento,1
prima di poter attaccare,1
L' attesa,1
stockdunkel,1
la discesa,1
Il Bishorn,1
ulteriori tre,1
HM,1
Schliesslich,1
Wegweisern,1
Glücklich,1
Augenblicklich,1
Kopfkissen,1
Regen inZinalanzukommen,1
Firnhatsch,1
Roc de Vache,1
IV. Grad,1
la nostalgia di ciò,1
cerca di suggerimenti sulle,1
la curiosità di spingersi,1
più relazioni,1
vecchio,1
Firnschneide,1
Abstiegs,1
mattinata e,1
Roc De La Vache,1
posta su una cengia rocciosa,1
si staglia,1
sbuchiamo finalmente,1
attesa dell'ora di cena,1
cerca di compagnia,1
Lui,1
solitaria,1
così,1
un attimo si decide di,1
la quota ed,1
cerca di materiale,1
testa,1
All'esterno,1
contribuisce a rendere,1
le 6:00 del mattino,1
la nostra meta,1
pochi metri arriviamo al Trutmanngletscher,1
falsopiano ma con parecchi crepacci aperti,1
maniera decisa,1
un breve passaggio dove la neve è  parecchio,1
condizione di fame d'aria,1
che ogni,1
faccia,1
si lascia guardare a sprazzi,1
Weißhornhütte,1
La discesa vola,1
maniera,1
un attimo siamo di nuovo,1
dislivello si fanno sentire tutti,1
la salita,1
aggiunta,1
a reticolo,1
sarebbe,1
si arriva al bivio,1
la Roc de la Vache a,1
passando,1
direzione delle rocce su,1
rifugio,1
cresta,1
Raggiunto il colletto,1
Winterweg,1
Fenster,1
Tal Richtung,1
Baches,1
Grindelwald,1
Tanti buchi di crepaccio a cui fare,1
La Burnaby,1
ghiaccio,1
denke,1
Walliser Berge,1
Schlechtwetter,1
Torrent du Barme,1
Lac Noir,1
Abstieges,1
spätabends,1
Chogolisa,1
Aufstiegstempo,1
weiß-rot-weiß,1
uns.2.TagNach,1
Tal absteigen).Auf jedenfall,1
Abstiegsweg,1
Schale,1
Unterholz,1
Walliser Alpen,1
Trekkingstöcke,1
Hauptabstiegsweg,1
Gran Paradiso,1
Aostatal,1
Kette,1
macchina,1
miei tempi,1
Großer Gendarm,1
la maestosa cima,1
autogrill,1
Vallese,1
le 24,1
Ho la macchina,1
Ticino,1
Avevo adrenalina,1
corpo,1
2 pranzi,1
alta del villaggio le indicazioni,1
Si tratta di,1
si devono usare le mani,1
sottintesa,1
un luogo,1
salita,1
cui,1
la prima volta,1
Particolare,1
a mangiare,1
Monviso,1
ho lavorato,1
forse,1
Poi affronto la semplice discesa alla,1
teoria al mondo solo poche cose,1
piedi,1
Lascio la Tracuit,1
Ho di nuovo,1
arrivo anche loro da una cima della zona,1
Alp Combautanna,1
Geröll,1
uns,1
Heerscharen,1
Strahlhorn,1
Höhensturms,1
30.04.19,1
Hüttenweg,1
Skier,1
flacheres,1
Großen Gendarm Wolkenhülle,1
zweiten Brücke,1
Tourenwoche Wallis,1
München,1
Verkehrsmitteln,1
Unsere Hütte,1
Schneegrenze,1
Neuschnee,1
Frühstück,1
Maxiumum der Gefühle,1
Italien,1
Gipfelfoto,1
echt,1
Baustelle,1
Alte Hütte,1
letze Stück,1
Lyskamm,1
Essenssaal,1
stock-dunkeln,1
Oberen Turtmanngletscher,1
Moirygletscher,1
Torrent du Barmé,1
Stille,1
Anblick,1
Drytooling,1
Gletscherautobahn,1
Punta Burnaby,1
Kompagnon,1
KameradenUrsula,1
Weißhornjoch,1
Felix,1
Oberen Sennturm,1
Weiterwegs,1
Adlerfluh,1
Haupt- uns Ostgipfel,1
Gehen,1
Hause,1
Spaltenzonen,1
Weisshorn Dent Blanche,1
Nadelgrat,1
Saastal,1
Lac Leman-Gebiet,1
Castor,1
Pollux,1
Roccia Nera,1
Aufbruch,1
Allalin,1
amOrtlerwar,1
zumGrand Paradisozurück,1
Zick-Zack-Steigspuren,1
Saas Fee,1
Bergbahnen,1
Breithorns,1
Schwierigkeit G2,1
Les Leisses,1
Le Chiesso,1
Siamo,1
Svizzera un ragù,1
Mt,1
Weisshorn Nordostwand,1
Bisjoch,1
Everest-Manier,1
dem>>TOPO Bishorn,1
Kurzen Seil,1
Trittschnee,1
II-III,1
Weisshornhuette,1
St. Gallen,1
Les Diablons,1
Grates,1
Geröllhalden,1
Dames,1
Esssaal,1
Val de Zinal,1
Sänntum P.,1
Turtmannsee,1
Brille,1
Bruneggbach,1
S,1
Wochenendtagen,1
Cab,1
Hüttenerlebnisse Teil 2,1
laaaang,1
du solltest,1
Neben-mir-Liegerin,1
Schlaf Unbewältiges,1
Schluß,1
Buckel ....,1
Ibuprofen,1
Kaffeewahn,1
Kaffeetassen,1
Kloschüssel,1
Grauens,1
Baches von Barme,1
"nein,",1
Ar-Pitetta-Hütte,1
Tourengepäck am Rücken,1
Rosenlauital,1
Wildgärst,1
Rosenlaui,1
Furkapass,1
Na,1
Österreich,1
Brunegggletsche,1
Randa im Mattertal,1
Knietiefem,1
Sturmböen,1
Westflanke,1
Trance,1
Gipfelsturm,1
Tete de Milon,1
Genossen,1
Glücklicherweise,1
Schwitzen,1
Angeschrieben,1
Formstandes,1
Ok,1
Mitternacht Radau,1
Gletscherrand,1
Eben,1
"chiamato anche ""le 4000",1
mancanza di,1
essendo il percorso,1
le 11,1
auto prima,1
decidiamo di prendercela con calma,1
abbiamo già nelle,1
più ripida,1
Col de Tracuit è su pietraia,1
insomma,1
sentire,1
La costruzione è prossima all'abbattimento,1
la prossima stagione,1
la camerata,1
termini di visibilità,1
Iniziamo,1
alcuni,1
dobbiamo ancora fare i,1
Simo,1
Ale ed io scendiamo,1
le cose si calmano un,1
prossimità del rifugio,1
arrivano,1
un'ora dopo di noi confermando che,1
cima c'era vento e bufera,1
smette ma di sole,1
dislivello,1
Seilbahnviertausender,1
oltre che,1
Erde,1
Malediven,1
Mittelwallis,1
Leuk,1
Balmhorngipfels,1
le tonalità del tramonto,1
che rimangono,1
Mani's,1
Thun,1
Turtmann,1
Bergtaxi,1
Endstation,1
Turtmannstausee,1
Regenjacke,1
Nachtessens,1
Hüttentelefon,1
Akkord,1
Brunegggletschers,1
bonne compagnie,1
Ultracuit,1
Thermos,1
Bruneggjochs,1
Felsbänder,1
zick-zack,1
Fussbad,1
Cabane de Tracuit CAS[12.,1
Gstältli,1
Bergpanorama,1
Zinal Rothorn,1
Schweizer Alpen,1
Adlerflühe,1
Esstisch,1
Hochsaison,1
Spuren-Autobahn,1
Lieblingskanton,1
Gipfel-Stopp,1
Liste,1
Chiesso,1
Eiger,1
Mittellegigrat,1
zurCombautanna,1
Ostegg,1
Gindelwald,1
Postbus,1
Bivacplatz,1
Begin des Wanderweges,1
Nutella-Brot,1
Bishorn Gipfel,1
Essen,1
Bewegung,1
Ausrüstung-Gegenstände,1
Mont Blanc-in-a-day,1
Sohle,1
Gleichzeitg,1
Ostgrates,1
Corone Imperial,1
Anziehen-Zimmer,1
Wolkenschicht,1
Grates hinab,1
Rastplatz,1
Einfach,1
Clariden,1
Tödi,1
Monte Viso,1
gleichnamigen Tal,1
Wasserloch,1
Bergsteigen,1
"Tal ""Val d'Anniviers",1
Tourist-Office,1
Navisence,1
Reich,1
Wegs,1
mächtigeWeisshorn,1
Hüttchen,1
Urrindern,1
Glacier de Moming,1
Hochlagen,1
Schwizerdütsch,1
Italienisch,1
Italiener,1
Gipfel-Panorama,1
Vordach,1
Ferne,1
Briten,1
Schottland,1
Österreicher,1
Wissenschaftsadministration,1
Schweizern,1
Schneesturm,1
Blitzschlag,1
Schweitzer,1
Äschihorn,1
0500h,1
Bietschhorn,1
Freiburg,1
Himalaya,1
sembra un nonnulla ma,1
